ASSERTION	AAMAAQ9DcmVhdGUgbmV3IHVzZXIDAAECAQAAAAAAAGCDQA==
ASSERTION	AAMAAQlHZXQgdXNlcnMDAAECAQAAAAAAAABpQA==
ASSERTION	AAMAAQhHZXQgdXNlcgMAAQIBAAAAAAAAQGVA
ASSERTION	AAMAAQtVcGRhdGUgdXNlcgMAAQIBAAAAAAAAUIRA
ASSERTION	AAECAAMBAAAAAAAAABRA
RUN	simulations.ReqresSimulation	reqressimulation	1606851497087	 	3.4.1
REQUEST		Get user	1606851520770	1606851520828	OK	 
REQUEST		Get users	1606851520811	1606851520835	OK	 
USER	Get users scenario	START	1606851520881
REQUEST		Get user	1606851520881	1606851520934	OK	 
REQUEST		Get users	1606851520946	1606851520967	OK	 
USER	Get users scenario	START	1606851520992
REQUEST		Get user	1606851520992	1606851521039	OK	 
USER	Get users scenario	END	1606851521049
USER	Get users scenario	START	1606851521103
REQUEST		Get users	1606851521090	1606851521114	OK	 
REQUEST		Get user	1606851521103	1606851521152	OK	 
USER	Get users scenario	END	1606851521207
USER	Get users scenario	START	1606851521214
REQUEST		Get users	1606851521241	1606851521258	OK	 
REQUEST		Get user	1606851521214	1606851521258	OK	 
USER	Get users scenario	START	1606851521326
REQUEST		Get user	1606851521327	1606851521371	OK	 
USER	Get users scenario	END	1606851521393
REQUEST		Get users	1606851521378	1606851521397	OK	 
USER	Get users scenario	START	1606851521437
REQUEST		Get user	1606851521438	1606851521485	OK	 
REQUEST		Get users	1606851521520	1606851521544	OK	 
USER	Get users scenario	START	1606851521548
REQUEST		Get user	1606851521549	1606851521599	OK	 
USER	Get users scenario	END	1606851521601
USER	Get users scenario	START	1606851521659
REQUEST		Get users	1606851521661	1606851521685	OK	 
REQUEST		Get user	1606851521660	1606851521707	OK	 
USER	Get users scenario	START	1606851521771
USER	Get users scenario	END	1606851521811
REQUEST		Get users	1606851521804	1606851521824	OK	 
REQUEST		Get user	1606851521771	1606851521825	OK	 
USER	Get users scenario	START	1606851521880
