ASSERTION	AAMAAQ9DcmVhdGUgbmV3IHVzZXIDAAECAQAAAAAAAGCDQA==
ASSERTION	AAMAAQlHZXQgdXNlcnMDAAECAQAAAAAAAABpQA==
ASSERTION	AAMAAQhHZXQgdXNlcgMAAQIBAAAAAAAAQGVA
ASSERTION	AAMAAQtVcGRhdGUgdXNlcgMAAQIBAAAAAAAAUIRA
ASSERTION	AAECAAMBAAAAAAAAABRA
RUN	simulations.ReqresSimulation	reqressimulation	1606852013874	 	3.4.1
USER	Get users scenario	START	1606852038093
REQUEST		Get user	1606852038094	1606852038139	OK	 
REQUEST		Get users	1606852038142	1606852038159	OK	 
USER	Get users scenario	END	1606852038168
USER	Get users scenario	START	1606852038204
REQUEST		Get user	1606852038205	1606852038258	OK	 
REQUEST		Get users	1606852038288	1606852038315	OK	 
USER	Get users scenario	START	1606852038316
REQUEST		Get user	1606852038316	1606852038368	OK	 
USER	Get users scenario	END	1606852038374
USER	Get users scenario	START	1606852038427
REQUEST		Get users	1606852038425	1606852038445	OK	 
REQUEST		Get user	1606852038427	1606852038474	OK	 
USER	Get users scenario	START	1606852038538
USER	Get users scenario	END	1606852038583
REQUEST		Get user	1606852038538	1606852038586	OK	 
REQUEST		Get users	1606852038568	1606852038591	OK	 
USER	Get users scenario	START	1606852038647
REQUEST		Get user	1606852038648	1606852038698	OK	 
REQUEST		Get users	1606852038717	1606852038738	OK	 
USER	Get users scenario	START	1606852038758
USER	Get users scenario	END	1606852038767
REQUEST		Get user	1606852038759	1606852038810	OK	 
USER	Get users scenario	START	1606852038870
REQUEST		Get users	1606852038853	1606852038882	OK	 
REQUEST		Get user	1606852038870	1606852038924	OK	 
USER	Get users scenario	END	1606852038974
USER	Get users scenario	START	1606852038981
REQUEST		Get user	1606852038981	1606852039028	OK	 
REQUEST		Get users	1606852039009	1606852039032	OK	 
USER	Get users scenario	START	1606852039093
REQUEST		Get user	1606852039093	1606852039145	OK	 
USER	Get users scenario	END	1606852039161
USER	Get users scenario	START	1606852039183
REQUEST		Get users	1606852039147	1606852039190	OK	 
REQUEST		Get user	1606852039183	1606852039234	OK	 
USER	Get users scenario	START	1606852039274
REQUEST		Get users	1606852039255	1606852039275	OK	 
USER	Get users scenario	END	1606852039310
REQUEST		Get user	1606852039274	1606852039317	OK	 
USER	Get users scenario	START	1606852039365
REQUEST		Get users	1606852039372	1606852039394	OK	 
REQUEST		Get user	1606852039365	1606852039410	OK	 
USER	Get users scenario	END	1606852039451
USER	Get users scenario	START	1606852039456
REQUEST		Get user	1606852039456	1606852039498	OK	 
REQUEST		Get users	1606852039479	1606852039502	OK	 
USER	Get users scenario	START	1606852039547
REQUEST		Get user	1606852039547	1606852039593	OK	 
USER	Get users scenario	END	1606852039598
REQUEST		Get users	1606852039588	1606852039607	OK	 
USER	Get users scenario	START	1606852039638
REQUEST		Get user	1606852039638	1606852039690	OK	 
REQUEST		Get users	1606852039703	1606852039724	OK	 
USER	Get users scenario	START	1606852039729
USER	Get users scenario	END	1606852039731
REQUEST		Get user	1606852039730	1606852039778	OK	 
USER	Get users scenario	START	1606852039820
REQUEST		Get users	1606852039808	1606852039828	OK	 
REQUEST		Get user	1606852039821	1606852039880	OK	 
USER	Get users scenario	END	1606852039881
USER	Get users scenario	START	1606852039912
REQUEST		Get users	1606852039923	1606852039941	OK	 
REQUEST		Get user	1606852039912	1606852039965	OK	 
USER	Get users scenario	START	1606852040003
USER	Get users scenario	END	1606852040031
REQUEST		Get users	1606852040030	1606852040051	OK	 
REQUEST		Get user	1606852040004	1606852040063	OK	 
USER	Get users scenario	END	1606852040160
REQUEST		Get users	1606852040141	1606852040175	OK	 
REQUEST		Get users	1606852040259	1606852040279	OK	 
USER	Get users scenario	END	1606852040316
REQUEST		Get users	1606852040369	1606852040389	OK	 
USER	Get users scenario	END	1606852040446
REQUEST		Get users	1606852040475	1606852040497	OK	 
USER	Get users scenario	END	1606852040592
REQUEST		Get users	1606852040587	1606852040605	OK	 
REQUEST		Get users	1606852040699	1606852040724	OK	 
USER	Get users scenario	END	1606852040739
REQUEST		Get users	1606852040812	1606852040832	OK	 
USER	Get users scenario	END	1606852040883
REQUEST		Get users	1606852040926	1606852040944	OK	 
USER	Get users scenario	END	1606852041033
REQUEST		Get users	1606852041030	1606852041047	OK	 
REQUEST		Get users	1606852041146	1606852041165	OK	 
USER	Get users scenario	END	1606852041191
REQUEST		Get users	1606852041235	1606852041257	OK	 
USER	Get users scenario	END	1606852041276
REQUEST		Get users	1606852041319	1606852041341	OK	 
USER	Get users scenario	END	1606852041395
REQUEST		Get users	1606852041412	1606852041436	OK	 
USER	Get users scenario	END	1606852041503
REQUEST		Get users	1606852041500	1606852041521	OK	 
USER	Get users scenario	END	1606852041608
REQUEST		Get users	1606852041594	1606852041616	OK	 
REQUEST		Get users	1606852041691	1606852041711	OK	 
USER	Get users scenario	END	1606852041725
REQUEST		Get users	1606852041779	1606852041798	OK	 
USER	Get users scenario	END	1606852041829
REQUEST		Get users	1606852041881	1606852041904	OK	 
USER	Get users scenario	END	1606852041942
REQUEST		Get users	1606852041966	1606852041986	OK	 
USER	Get users scenario	END	1606852042052
REQUEST		Get users	1606852042064	1606852042082	OK	 
USER	Get users scenario	END	1606852042177
USER	Get users scenario	END	1606852042281
USER	Get users scenario	END	1606852042391
USER	Get users scenario	END	1606852042498
USER	Get users scenario	END	1606852042607
USER	Get users scenario	END	1606852042725
USER	Get users scenario	END	1606852042834
USER	Get users scenario	END	1606852042945
USER	Get users scenario	END	1606852043048
USER	Get users scenario	END	1606852043166
USER	Get users scenario	END	1606852043258
USER	Get users scenario	END	1606852043343
USER	Get users scenario	END	1606852043437
USER	Get users scenario	END	1606852043522
USER	Get users scenario	END	1606852043618
USER	Get users scenario	END	1606852043713
USER	Get users scenario	END	1606852043799
USER	Get users scenario	END	1606852043905
USER	Get users scenario	END	1606852043987
USER	Get users scenario	END	1606852044083
